request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Requested 15656000 IDR on 2025-08-03: 15656000 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2025-08-03. Plan: 2025-08-03:15656000."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Requested 6670 ZAR on 2026-07-05: 6670 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-07-05. Plan: 2026-07-05:6670."
request_28,0,not_affordable,not_recommended,none,,none,"Requested 1302.40 EUR on 2024-06-07: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Requested 51524 ZAR on 2025-11-04: 51524 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2025-11-04. Plan: 2025-11-04:51524."
request_30,738.16,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,,stop:event_2694,"Requested 775.20 USD on 2026-04-06: 738.16 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_with_plan, method installments). Full payment earliest safe: not in forecast. Plan: 2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74. Requires spending changes: stop:event_2694."
request_31,0,not_affordable,not_recommended,none,,none,"Requested 18164000 IDR on 2024-09-03: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_32,0,not_affordable,not_recommended,none,,none,"Requested 40018 ZAR on 2025-02-05: 0 ZAR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_33,0,not_affordable,not_recommended,none,,none,"Requested 118000 INR on 2026-01-07: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Requested 129400 INR on 2024-12-04: 129400 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2024-12-04. Plan: 2024-12-04:129400."
request_35,0,not_affordable,not_recommended,none,,none,"Requested 212000 INR on 2025-10-30: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_36,789.44,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Requested 3954 USD on 2026-07-03: 789.44 USD safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_later, method wait). Full payment earliest safe: 2026-08-15. Plan: 2026-08-15:3954."
request_37,0,not_affordable,not_recommended,none,,none,"Requested 14649000 IDR on 2024-03-05: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_38,0,not_affordable,not_recommended,none,,none,"Requested 971.30 EUR on 2025-08-07: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_39,0,not_affordable,not_recommended,none,,none,"Requested 208600 INR on 2026-04-04: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_40,0,not_affordable,not_recommended,none,,none,"Requested 1290.30 EUR on 2024-06-06: 0 EUR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_41,0,not_affordable,not_recommended,none,,none,"Requested 38760000 IDR on 2025-11-03: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Requested 52100 INR on 2026-01-05: 52100 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2026-01-05. Plan: 2026-01-05:52100."
request_43,8752205.76,not_affordable,not_recommended,none,,none,"Requested 43339000 IDR on 2024-09-07: 8752205.76 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_44,0,not_affordable,not_recommended,none,,none,"Requested 95800 INR on 2025-02-04: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_45,4441622.01,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Requested 21983000 IDR on 2026-07-06: 4441622.01 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_later, method wait). Full payment earliest safe: 2026-09-15. Plan: 2026-09-15:21983000."
request_46,0,not_affordable,not_recommended,none,,none,"Requested 49450 INR on 2024-12-03: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_47,0,not_affordable,not_recommended,none,,none,"Requested 38114000 IDR on 2025-05-05: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_48,0,not_affordable,not_recommended,none,,none,"Requested 45700 INR on 2026-07-25: 0 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_49,0,not_affordable,not_recommended,none,,none,"Requested 34333000 IDR on 2024-03-04: 0 IDR safe to pay today while keeping the minimum balance across the 90-day forecast (status not_affordable, method not_recommended). Full payment earliest safe: not in forecast. Plan: none."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Requested 43900 INR on 2025-08-06: 43900 INR safe to pay today while keeping the minimum balance across the 90-day forecast (status affordable_now, method full_payment). Full payment earliest safe: 2025-08-06. Plan: 2025-08-06:43900."
